nome_empresa,setor,segmento_especifico,site_rede_social,evidencia_plano,evidencia_porte,nivel_confianca,fontes,cargo_alvo_linkedin
Smart Fit,Academias/Fitness,"Academia low-cost, maior rede da América Latina",smartfit.com.br,"Mensalidades a partir de R$119,90 (smartfit.com.br/planos)","984 unidades no Brasil, 2.084 em 16 países, 5,2 milhões de clientes; empresa listada na bolsa (SMFT3)",Alta,smartfit.com.br/planos; blog.sistemapacto.com.br/maiores-redes-de-academias-do-brasil,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Bluefit,Academias/Fitness,Academia low-cost,bluefit.com.br,"Planos entre R$119,90 e R$189,90 (site oficial)","~215 unidades em 18 estados/90 cidades; capital aberto na B3 (BFFT3); receita líquida R$217,5 mi em 2022 (+92% a/a)",Alta,blog.sistemapacto.com.br; exame.com/invest/mercados/mubadala-compra-51-da-rede-de-academias-bluefit,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Selfit Academias,Academias/Fitness,"Academia HVLP (high value, low price)",selfitacademias.com.br,"Planos a partir de R$99,90-R$219,90 (selfitacademias.com.br/planos)",183 academias (37 franquias + 146 próprias) fim de 2025; faturamento de R$330 milhões em 2024,Alta,exame.com/negocios/como-ele-transformou-o-mercado-de-academias-no-nordeste; selfitacademias.com.br/planos,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Panobianco,Academias/Fitness,Academia low-cost/franquia,panobiancoacademia.com.br,"Planos Orange/Platinum de R$119,90 a R$139,90",~400 unidades ativas; faturamento R$800 milhões em 2025; meta 1.000 academias até 2028,Alta,seudinheiro.com/2026/empresas/panobianco; panobiancosatelite.com.br/planos,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Skyfit Academia,Academias/Fitness,Academia low-cost/franquia,skyfitacademia.com,"Planos de R$99,90 a R$139,90","Mais de 600 unidades no Brasil, 2ª maior rede do país por número de unidades",Alta,skyfitacademia.com/franqueados; seudinheiro.com/2026/empresas/panobianco,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Academia Gaviões,Academias/Fitness,Academia 24h/franquia,academiagavioes.com.br,Mensalidades divulgadas em campanhas promocionais nas unidades/redes sociais,"Mais de 100 unidades, 380 mil alunos ativos, faturamento anual acima de R$300 milhões; melhor franquia fitness do país (ABF 2024)",Alta,jornaldobras.com.br/noticia/81477; brazileconomy.com.br/empresas/2025/10,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Bio Ritmo,Academias/Fitness,Academia premium (marca do grupo Smart Fit),bioritmo.com.br,Planos premium divulgados por unidade (checkout/app da rede),"~35 unidades de alto padrão; parte do Grupo Smart Fit, histórico de expansão para América Latina",Média,blog.sistemapacto.com.br; saudedigitalnews.com.br/09/10/2024,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Bodytech Company (Bodytech + Fórmula),Academias/Fitness,Academia premium/franquia,bodytech.company,Planos por unidade (site institucional),90-100 unidades somando as duas bandeiras; balanços publicados (relação com investidores),Média,medias.bodytech.company/balances/Balanco_BT_2019.pdf; blog.sistemapacto.com.br,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Cia Athletica,Academias/Fitness,Academia premium/completa,ciaathletica.com.br,Planos por unidade (checkout site institucional),16-17 unidades premium de grande porte físico; receita de ~R$140-150 milhões/ano (2023-2024),Média,ciaathletica.com.br/relacao_unidades.html; istoedinheiro.com.br/cia-athletica-entra-em-forma,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Velocity (Studio Velocity),Academias/Fitness,Estúdio de spinning/boutique fitness,velocity.com.br,Ticket médio alto por aula/plano mensal (divulgado nas unidades),"82-108 unidades; faturamento R$35,6 mi e lucro R$10,1 mi (12 meses até abr/2024); adquirida pela Smart Fit por R$163-183 mi",Alta,cnnbrasil.com.br/economia/negocios/smart-fit-anuncia-compra-da-rede-de-academias-velocity; braziljournal.com/smartfit-paga-r-183-milhoes-pela-velocity,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Pratique Fitness,Academias/Fitness,Academia regional (maior rede de MG),pratiquefitness.com.br,Planos e checkout online (novo.pratiquefitness.com.br),Mais de 130 unidades em MG/SC/ES/PR + expansão internacional (EUA/Argentina); +2.500 funcionários,Média,pratiquefitness.com.br/en/sobre-a-pratique; diariodocomercio.com.br/negocios/pratique-academia-planeja-chegar-a-200-unidades-em-2025,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Pure Pilates,Academias/Fitness,Rede de estúdios de Pilates,purepilates.com.br,Plano Power R$399/mês (12 meses) ou R$439/mês sem fidelidade,"Maior rede de Pilates da América Latina, entre 260 e 462 studios; ~14 mil alunos, faturamento médio de R$6,5 mi/mês (~R$80 mi/ano)",Alta,exame.com/negocios/ele-vendia-trufas-e-hoje-fatura-r-80-milhoes; purepilates.com.br/quanto-custa-pilates,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
VOLL Pilates Studios,Academias/Fitness,Rede de estúdios de Pilates/franquia,vollstudios.com.br,Mensalidades a partir de ~R$146/semana (variável por studio),"102 unidades no Brasil (dez/2025); +500 mil clientes atendidos historicamente; grupo faturou R$13,3 mi em 2018 (dado antigo)",Média,guiafranquiasdesucesso.com/franquias/voll-pilates-studios; exame.com/pme/como-ele-foi-do-telemarketing-a-uma-rede-de-pilates-que-fatura-r-13-mi,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Cross Life,Academias/Fitness,Rede de box de CrossFit/treinamento funcional,crosslifeteam.com.br,Mensalidades competitivas divulgadas por unidade (redes sociais),Mais de 250 unidades em 18 estados do Brasil,Média,crosslifeteam.com.br/abra-uma-unidade; autoridadecross.com.br,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Cross Xperience,Academias/Fitness,Rede de franquias de treinamento funcional/cross,crossxperience.com.br,Mensalidades divulgadas por unidade franqueada,Mais de 350 franqueados/unidades,Baixa,franquia.crossxperience.com.br,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
